Equipo,Dorsal,Nombre,Apellido,Nombre_Completo,Posición,Altura,Fecha_Nacim,Pais_Nacim,Comunidad,Nacionalidad,Licencia,Foto,Bandera_Pais,Bandera_Comunidad,KEY
UCM,0,Souley,Boum,Souley Boum,Base,190,26/01/1999,USA,NO,GIN,COT,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/0-boum.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/USA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM0Boum
UCM,1,Michael,Forrest,Michael Forrest,Base,183,02/12/1999,USA,NO,JAM,COT,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/1-forrest.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/USA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM1Forrest
UCM,2,Sander,Raieste,Sander Raieste,Alero,201,31/03/1999,EST,NO,EST,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/2-raieste.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/EST.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM2Raieste
UCM,4,Kaiser,Gates,Kaiser Gates,Ala-Pívot,201,08/11/1996,USA,NO,USA,EXT,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/4-gates.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/USA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM4Gates
UCM,6,Juani,Marcos,Juani Marcos,Base,190,06/07/2000,ARG,NO,ITA,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/6-marcos.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ARG.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM6Marcos
UCM,8,Howard,Sant-Roos,Howard Sant-Roos,Alero,201,13/02/1991,CUB,NO,CUB,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/8-sant-roos.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/CUB.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM8Sant-Roos
UCM,12,Jonah,Radebaugh,Jonah Radebaugh,Base,191,17/06/1997,USA,NO,MNE,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/12-radebaugh.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/USA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM12Radebaugh
UCM,13,Wilhelm,Falk,Wilhelm Falk,Escolta,203,25/06/2003,SWE,NO,SWE,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/13-falk.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/SWE.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM13Falk
UCM,15,Emmanuel,Cate,Emmanuel Cate,Pívot,207,30/07/1997,ROU,NO,ROU,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/15-cate.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ROU.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM15Cate
UCM,16,Rubén,López De La Torre,Rubén López De La Torre,Ala-Pívot,201,13/03/2002,ESP,MAD,ESP,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/16-lopez de la torre.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/MAD.png?raw=true,UCM16López De La Torre
UCM,20,Jean-Marc,Pansa,Jean-Marc Pansa,Pívot,208,20/08/1997,FRA,NO,FRA,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/20-pansa.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/FRA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM20Pansa
UCM,21,Moussa,Diagne,Moussa Diagne,Pívot,211,06/03/1994,SEN,NO,ESP,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/21-diagne.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/SEN.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM21Diagne
UCM,28,Marcis,Steinbergs,Marcis Steinbergs,Ala-Pívot,208,28/08/2001,LVA,NO,LVA,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/28-steinbergs.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/LVA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM28Steinbergs
UCM,31,Dylan,Ennis,Dylan Ennis,Escolta,188,26/12/1991,CAN,NO,SRB,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/31-ennis.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/CAN.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM31Ennis
UCM,99,Toni,Nakic,Toni Nakic,Alero,201,01/06/1999,HRV,NO,HRV,EUR,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/cuerpo/99-nakic.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/HRV.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,UCM99Nakic
JOV,1,Yannick,Kraag,Yannick Kraag,Alero,202,16/10/2002,NLD,NO,NLD,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/JOV/cuerpo/1-kraag.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/NLD.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,JOV1Kraag
JOV,3,Boogie,Ellis,Boogie Ellis,Escolta,188,12/12/2000,USA,NO,USA,EXT,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/JOV/cuerpo/3-ellis.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/USA.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,JOV3Ellis
JOV,4,Eli,Ndiaye,Eli Ndiaye,Ala-Pívot,204,26/06/2004,SEN,NO,ESP,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/JOV/cuerpo/4-ndiaye.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/SEN.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/NO.png?raw=true,JOV4Ndiaye
JOV,9,Ricky,Rubio,Ricky Rubio,Base,189,21/10/1990,ESP,CAT,ESP,JFL,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/JOV/cuerpo/9-rubio.webp?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP.png?raw=true,https://github.com/DJordanV/ACB_26-27/blob/develop/img/banderas/ESP/CAT.png?raw=true,JOV9Rubio
